key,date,time_rd,lottery,draw,generated_at,best_signal,best_a11,ok_alert,top12,top6,pales10,graded,topq,pales,fingerprint
2026-02-07|Anguilla|Anguila 1PM|2026-02-07 13:00,2026-02-07,2026-02-07 13:00,Anguilla,Anguila 1PM,2026-02-07T13:01:50.746250-04:00,0.005698204204213634,11,False,"[""43"", ""98"", ""77"", ""76"", ""36"", ""57"", ""33"", ""30"", ""59"", ""65"", ""82"", ""94""]",,,1,"[""43"", ""98"", ""77""]","[""43-98"", ""43-77"", ""43-76""]",
2026-02-07|La Nacional|Loteria Nacional- Gana Más|2026-02-07 14:30,2026-02-07,2026-02-07 14:30,La Nacional,Loteria Nacional- Gana Más,2026-02-07T14:00:27.747708-04:00,0.0018478251547611073,13,True,"[""25"", ""40"", ""65"", ""29"", ""82"", ""08"", ""44"", ""14"", ""37"", ""20"", ""75"", ""89""]",,,1,"[""25"", ""40"", ""65""]","[""25-40"", ""25-65"", ""25-29""]",
2026-02-07|Anguilla|Anguila 6PM|2026-02-07 18:00,2026-02-07,2026-02-07 18:00,Anguilla,Anguila 6PM,2026-02-07T17:55:19.338009-04:00,0.006770338673115292,11,False,"[""63"", ""94"", ""33"", ""23"", ""62"", ""02"", ""59"", ""47"", ""13"", ""46"", ""03"", ""48""]",,,1,"[""63"", ""94"", ""33""]","[""63-94"", ""33-63"", ""23-63""]",
2026-02-07|La Suerte|Quiniela La Suerte 6PM|2026-02-07 18:00,2026-02-07,2026-02-07 18:00,La Suerte,Quiniela La Suerte 6PM,2026-02-07T17:55:20.986449-04:00,0.005025936804481827,14,True,"[""19"", ""79"", ""65"", ""60"", ""09"", ""45"", ""30"", ""07"", ""88"", ""21"", ""92"", ""66""]",,,1,"[""19"", ""79"", ""65""]","[""19-79"", ""19-65"", ""19-60""]",
2026-02-07|La Primera|Quiniela La Primera Noche|2026-02-07 19:00,2026-02-07,2026-02-07 19:00,La Primera,Quiniela La Primera Noche,2026-02-07T19:01:00.020110-04:00,0.003034922115679438,15,True,"[""96"", ""50"", ""38"", ""68"", ""33"", ""08"", ""15"", ""17"", ""05"", ""31"", ""18"", ""14""]",,,1,"[""96"", ""50"", ""38""]","[""50-96"", ""38-96"", ""68-96""]",
2026-02-07|Anguilla|Anguila 9PM|2026-02-07 21:00,2026-02-07,2026-02-07 21:00,Anguilla,Anguila 9PM,2026-02-07T20:03:34.204030-04:00,0.007835999591483145,10,False,"[""57"", ""81"", ""27"", ""90"", ""20"", ""55"", ""92"", ""18"", ""05"", ""63"", ""48"", ""83""]",,,1,"[""57"", ""81"", ""27""]","[""57-81"", ""27-57"", ""57-90""]",
2026-02-07|La Nacional|Loteria Nacional- Noche|2026-02-07 21:00,2026-02-07,2026-02-07 21:00,La Nacional,Loteria Nacional- Noche,2026-02-07T20:03:37.193700-04:00,0.001720267880322315,14,True,"[""65"", ""49"", ""72"", ""91"", ""03"", ""87"", ""63"", ""61"", ""13"", ""11"", ""80"", ""90""]",,,1,"[""65"", ""49"", ""72""]","[""49-65"", ""65-72"", ""65-91""]",
2026-02-08|Anguilla|Anguila 10AM|2026-02-08 10:00,2026-02-08,2026-02-08 10:00,Anguilla,Anguila 10AM,2026-02-08T09:58:49.783150-04:00,0.0058134203313508865,13,True,"[""85"", ""08"", ""40"", ""05"", ""58"", ""35"", ""76"", ""28"", ""23"", ""61"", ""92"", ""89""]",,,1,"[""85"", ""08"", ""40""]","[""08-85"", ""40-85"", ""05-85""]",
2026-02-08|La Primera|Quiniela La Primera|2026-02-08 12:00,2026-02-08,2026-02-08 12:00,La Primera,Quiniela La Primera,2026-02-08T11:54:57.778642-04:00,0.0032813901481896553,12,True,"[""78"", ""69"", ""88"", ""72"", ""08"", ""54"", ""36"", ""85"", ""45"", ""65"", ""41"", ""91""]",,,1,"[""78"", ""69"", ""88""]","[""69-78"", ""78-88"", ""72-78""]",
2026-02-08|La Nacional|Loteria Nacional- Gana Más|2026-02-08 14:30,2026-02-08,2026-02-08 14:30,La Nacional,Loteria Nacional- Gana Más,2026-02-08T13:59:32.807890-04:00,0.0017235576478989232,16,True,"[""36"", ""82"", ""08"", ""78"", ""29"", ""65"", ""25"", ""88"", ""40"", ""75"", ""94"", ""20""]",,,1,"[""36"", ""82"", ""08""]","[""36-82"", ""08-36"", ""36-78""]",
2026-02-08|Anguilla|Anguila 6PM|2026-02-08 18:00,2026-02-08,2026-02-08 18:00,Anguilla,Anguila 6PM,2026-02-08T18:44:33.582958-04:00,0.008212096618222173,10,False,"[""33"", ""30"", ""75"", ""87"", ""03"", ""46"", ""63"", ""48"", ""45"", ""59"", ""66"", ""70""]",,,1,"[""33"", ""30"", ""75""]","[""30-33"", ""33-75"", ""33-87""]",991bab1b8678b106
2026-02-08|La Nacional|Loteria Nacional- Noche|2026-02-08 18:00,2026-02-08,2026-02-08 18:00,La Nacional,Loteria Nacional- Noche,2026-02-08T18:44:37.792546-04:00,0.0015894492628954413,10,False,"[""47"", ""91"", ""87"", ""13"", ""11"", ""90"", ""61"", ""80"", ""38"", ""49"", ""03"", ""84""]",,,1,"[""47"", ""91"", ""87""]","[""47-91"", ""47-87"", ""13-47""]",e696e04f8b4e2aea
2026-02-08|La Suerte|Quiniela La Suerte 6PM|2026-02-08 18:00,2026-02-08,2026-02-08 18:00,La Suerte,Quiniela La Suerte 6PM,2026-02-08T18:44:41.884021-04:00,0.0017804364917019828,7,False,"[""30"", ""13"", ""87"", ""92"", ""66"", ""21"", ""07"", ""53"", ""88"", ""35"", ""02"", ""73""]",,,1,"[""30"", ""13"", ""87""]","[""13-30"", ""30-87"", ""30-92""]",ad6ac775a5608907
2026-02-08|La Primera|Quiniela La Primera Noche|2026-02-08 19:00,2026-02-08,2026-02-08 19:00,La Primera,Quiniela La Primera Noche,2026-02-08T19:36:56.261319-04:00,0.0023837769084595803,12,False,"[""33"", ""68"", ""08"", ""47"", ""65"", ""15"", ""14"", ""18"", ""31"", ""99"", ""41"", ""79""]",,,1,"[""33"", ""68"", ""08""]","[""33-68"", ""08-33"", ""33-47""]",538c91aa5a5a2297
2026-02-08|Anguilla|Anguila 9PM|2026-02-08 21:00,2026-02-08,2026-02-08 21:00,Anguilla,Anguila 9PM,2026-02-08T20:00:14.750926-04:00,0.007886849583949284,10,False,"[""57"", ""55"", ""33"", ""63"", ""15"", ""83"", ""18"", ""05"", ""48"", ""76"", ""28"", ""34""]",,,1,"[""57"", ""55"", ""33""]","[""55-57"", ""33-57"", ""57-63""]",29afe9e8db7cc965
2026-02-09|Anguilla|Anguila 10AM|2026-02-09 10:00,2026-02-09,2026-02-09 10:00,Anguilla,Anguila 10AM,2026-02-09T10:41:31.893008-04:00,0.00579626535003592,13,True,"[""85"", ""08"", ""40"", ""05"", ""58"", ""35"", ""76"", ""28"", ""23"", ""61"", ""92"", ""89""]",,,1,"[""85"", ""08"", ""40""]","[""08-85"", ""40-85"", ""05-85""]",8169e383a5b74c54
2026-02-09|La Primera|Quiniela La Primera|2026-02-09 12:00,2026-02-09,2026-02-09 12:00,La Primera,Quiniela La Primera,2026-02-09T12:29:57.285985-04:00,0.017123082448297806,3,False,"[""91"", ""14"", ""24"", ""80"", ""10"", ""96"", ""97"", ""25"", ""26"", ""51"", ""90"", ""45""]",,,1,"[""91"", ""14"", ""24""]","[""14-91"", ""24-91"", ""80-91""]",27ff673333f291a3
